Name				Level	HP	A	B	BHit	C	CHit	Def		Air	
けだま				1		2	1	1	1		1	3		0		0
ピクシー			2		3	0	2	1		0	0		0		2
ウィルオウィスプ	3		2	2	0	0		0	0		1		1
おんみょうだまE		3		4	0	1	3		1	5		0		1
けだまキング		18		50	3	2	3		1	5		0		0
ヤミけだま			5		6	2	2	2		1	4		0		0
⑨					5		4	0	1	4		0	0		0		2
くろまく			6		6	0	3	1		1	5		0		1
ばけがさ			6		4	3	0	0		0	0		1		0
まどうしょ			7		6	2	1	6		2	4		0		2
しゃんはい			6		5	3	1	7		0	0		0		1
ツンデレボックス？	10		20	4	0	0		0	0		1		0
ビッグしゃんはい	10		12	0	1	9		0	0		0		1
ゴリアテ			15		60	5	0	0		0	0		0		0
アリス				20		50	4	10	1		0	0		0		0
ヤミすずめ			8		6	3	0	0		0	0		0		0
うさぎ				9		8	3	3	3		3	3		0		0
どろぼう			9		8	4	0	0		0	0		0		0
ハイパーけだま		10		10	2	1	0		2	8		0		0
ハイパーうさぎ		15		50	4	1	0		3	8		0		0
ぐや				25		120	3	3	10		10	0		0		0
スペクター			20		12	4	0	0		0	0		1		1
ゆうぎ				27		100	10	0	0		0	0		0		0
つちぐも			12		8	0	2	5		0	0		0		2
おんみょうだまN		13		10	4	0	0		2	6		1		1
イチモクレン		14		15	0	0	0		4	3		0		1
ちびすいか			13		12	5	6	1		0	1		0		0
あかすいか			13		12	5	6	1		0	1		0		0
みどりすいか		13		12	5	6	1		0	1		0		0
あおすいか			13		12	5	6	1		0	1		0		0
モノクロすいか		40		200	12	0	0		0	0		0		0
ビッグすいか		30		150	10	5	1		0	0		0		0
ちぇん				20		50	4	4	2		0	0		0		0
らん				50		300	8	4	5		0	0		1		0
ゆかり				80		500	10	2	10		0	0		2		0
ゆかり				99		700	12	3	10		0	0		3		0
スペクター			30		18	8	0	0		0	0		2		1
ハイピクシー		12		9	0	3	3		0	0		0		2
ポイズンフェアリー	17		10	6	2	7		0	0		0		2
シールドフェアリー	17		10	0	2	7		6	0		1		2
ナイトフェアリー	18		12	6	2	7		0	0		1		2
はがねだま			18		8	6	3	3		2	6		3		0
どくがま			19		14	7	0	0		0	0		1		1
みのりこ			30		100	7	4	3		10	0		1		0
しずは				30		80	0	2	50		6	3		0		2
メディスン			40		200	8	3	10		4	20		0		2
スーさん			20		6	0	0	0		0	0		0		2
ゾンビフェアリー	22		14	6	6	2		0	0		0		2	
すわぼうし			23		18	8	0	0		0	0		0		0
ファントム			23		12	7	0	0		0	0		3		1
おんみょうだまH		24		14	6	3	7		0	0		2		1
うつほ				50		300	10	5	3		0	0		1		0
こがねだま			99		20	20	0	0		0	0		5		0
ガンピクシー		31		15	0	10	3		0	0		2		2
シャドウ			32		18	12	0	0		0	0		4		1
おんみょうだまL		33		18	10	4	8		0	0		3		1
りょうさんがた		27		14	6	3	7		0	0		2		1
りょうさんがた		27		14	6	3	7		0	0		2		1
りょうさんがた		28		14	6	3	7		0	0		2		1
りょうさんがた		29		14	6	3	7		0	0		2		1
らすぼす			60		400	12	
らすぼす			30		20	0	0	0		0	0		1		0
		
